id,name,price,max_durability,gear_score,created_at
740b1972-4e43-469f-851c-f8e09a6ac9e9,Iron Sword,76.39,50,5.77,2025-06-29 15:16:22.045755
61975e02-7938-460f-8184-207c4f907f67,Steel Shield,227.21,50,15.01,2025-06-29 15:16:22.045798
d7a5ab2b-28fc-4068-af94-bccbef0d3e30,Leather Armor,450.22,150,17.96,2025-06-29 15:16:22.045844
17c7b5f5-0617-49e5-85db-cc0571b30b6e,Magic Wand,233.08,150,12.98,2025-06-29 15:16:22.045883
002c17a8-9e62-4909-a9e6-bec4816011bf,Hunter Bow,80.82,50,17.61,2025-06-29 15:16:22.045931
3cd9c068-5db9-4656-bc9a-2cf3b56e8846,Plate Helm,168.02,50,5.31,2025-06-29 15:16:22.045974
3e16e950-d1d2-471d-84ce-fa1157998cb6,Fire Ring,57.21,100,9.59,2025-06-29 15:16:22.046000
f0a72897-8300-4b8e-80fd-cbe5f440b705,Mana Pendant,253.98,150,5.4,2025-06-29 15:16:22.046028
9cca1326-94b9-4770-92a9-62beb6882df2,Boots of Speed,483.13,100,19.02,2025-06-29 15:16:22.046050
a66b9c33-9fc1-424d-b8bf-0fb39d36502d,Cloak of Shadows,255.76,50,23.33,2025-06-29 15:16:22.046065
