id,name,xp_cost,skill_score,created_at
a89c05c9-e587-42bd-a355-41965546cd9f,Fireball,318,3.14,2025-06-29 15:16:22.046246
4721a6e6-8d37-413e-8f80-93f7abda87ac,Stealth,319,3.01,2025-06-29 15:16:22.046282
4ff19b4a-75be-4d18-a423-3a06e1b624e4,Sword Mastery,167,5.7,2025-06-29 15:16:22.046297
5ea7c163-d149-4bb6-b9ba-3a61c5fb2b23,Healing Light,526,5.51,2025-06-29 15:16:22.046311
9e608efa-81fc-4d71-b816-306529bd5381,Arcane Shield,989,2.76,2025-06-29 15:16:22.046325
32ca8011-da15-4ac9-876d-d89b37aa133f,Critical Strike,236,3.94,2025-06-29 15:16:22.046338
ac2b0ca1-8c2b-46a1-b765-666ea47c8534,Summon Familiar,790,9.32,2025-06-29 15:16:22.046352
b4e238fe-fbdb-49cf-9419-67f3dbd6b565,Wind Step,604,5.17,2025-06-29 15:16:22.046372
78419ef4-506a-40a0-b485-2ff91b55ebae,Shadow Grasp,564,4.48,2025-06-29 15:16:22.046396
dfe41941-4374-475e-99a3-2007b4add44c,Battle Cry,932,4.7,2025-06-29 15:16:22.046411
